feature,h,ic_s,t_s,n_s,ic_l,t_l,n_l,scale,t_exp,realized
resid_mom_126,1,0.009563442699956765,1.6793376509422113,1800,0.006062735201148103,2.0800028708026908,5072,1.6786237749352229,2.818976107015464,0.7378575737574637
resid_mom_126,5,0.0025027986206704765,0.2039356257304654,1796,-1.1427390481753275e-05,-0.001760871334130602,5068,1.6798292415074838,0.3425770274871618,-0.005140074181409001
resid_mom_126,21,-0.007761148992334224,-0.3324918740791698,1780,-0.011254945626415306,-0.8774994385334451,5052,1.6846964851839072,-0.5601478916133876,1.5665495696252527
resid_mom_252,1,0.01827277238308876,2.998454480873048,1674,0.011460107693096739,3.6661173470003914,4946,1.718894924377687,5.154028188150214,0.7113110780863161
resid_mom_252,5,0.01594603624343579,1.2272404062521778,1670,0.008945769026688722,1.2680497508876893,4942,1.7202562126397767,2.1111679332578723,0.600638978506501
resid_mom_252,21,0.013220623896797616,0.5504535057756358,1654,0.0023585410130379427,0.16589290775068924,4926,1.7257562350545064,0.9499485696999151,0.17463356758681592
low_beta,1,-0.0069666307375879045,-0.9002028874333693,1925,-0.0009123276563420688,-0.20658789909547529,5197,1.643088634170494,-1.4791131327892297,0.1396701134725937
low_beta,5,-0.022486813029225915,-1.3306024436187074,1921,-0.017634773695979863,-1.8022352965278021,5193,1.6441653024879395,-2.1877303692035435,0.8237922377902158
low_beta,21,-0.0511683745592629,-1.5785032592992514,1905,-0.03939203851266277,-2.0582771915794793,5177,1.648510024791257,-2.602178447120489,0.7909823378397134
low_corr,1,-0.005608583082782114,-1.002881799585928,2051,-0.005336836680282315,-1.7430490739406912,5323,1.6109994898855513,-1.6156420675484338,1.0788584358821407
